"variable","scale"
"dim_340",0.0369780553699692
"dim_341",0.0417820185954865
"dim_342",0.0339958731483659
"dim_343",0.0326626617112288
"dim_344",0.0423372785316005
"dim_345",0.0279784489424118
"dim_346",0.0350949851656855
"dim_347",0.0307055741832035
"dim_348",0.0432318947226826
"dim_349",0.0355913544859768
"dim_350",0.0330008508909641
"dim_351",0.0292687840074247
"dim_352",0.0295137528951484
"dim_353",0.0303257400648063
"dim_354",0.0250402712605973
"dim_355",0.0361780540019334
"dim_356",0.0384709302671138
"dim_357",0.0443794751458245
"dim_358",0.0380030889272927
"dim_359",0.0397237004644084
"dim_360",0.0304623468972228
"dim_361",0.0429335877754747
"dim_362",0.0417470071658547
"dim_363",0.0322557078685121
"dim_364",0.0255076630647902
"dim_365",0.0392670514705178
"dim_366",0.0311316589341913
"dim_367",0.0448067776695657
"dim_368",0.0315809702398867
"dim_369",0.028956812910685
"dim_370",0.0366929678679807
"dim_371",0.0264137264385401
"dim_372",0.0294351029536658
"dim_373",0.0327133086369005
"dim_374",0.0329140327101871
"dim_375",0.0352750159382422
"dim_376",0.0421750907675303
"dim_377",0.0336940137778632
"dim_378",0.0489089176589673
"dim_379",0.0334035851010038
"dim_380",0.026345916581827
"dim_381",0.0375087038213629
"dim_382",0.0385413929126456
"dim_383",0.0329886685762968
"dim_384",0.0302523373042228
