dimension,center
347,-0.03040517443924
348,-0.0399398791989751
349,-0.0362271735035949
350,-0.0035900556937658
351,0.0116732017937842
352,0.0486419178116141
353,-0.0286749162916851
354,0.0013325526526444
355,-0.0027794948440048
356,0.0151034980300182
357,0.0422211362152141
358,-0.0049845163166284
359,-0.0167863788317486
360,-0.0373983754923673
361,-0.0255276806951609
362,-0.0049927572733286
363,0.0270892141820011
364,0.0694685865662019
365,0.0059437194185814
366,0.0053104508030734
367,0.0257504711991957
368,-0.0048957465430411
369,-0.0591072038846825
370,-0.00682386129276
371,0.0387272859719029
372,-0.0100788915122942
373,0.0129856713321295
374,0.01198759003222
375,0.0157103550867874
376,-0.0089314833189773
377,0.0226791604014154
378,0.0821215873984406
379,-0.0597144308082988
380,0.0080555613100568
381,0.0439442032907974
382,0.0771632163107622
383,-0.0471949219715106
384,0.0141904776868507
